state,cpr_rating,abortions,abortion_rate,abortion_ratio,perc_obtain_by_out_of_state,perc_obtain_by_out_of_state_perc,white,white_perc,black,black_perc,other,other_perc,hispanic,hispanic_perc,married,married_perc,unmarried,unmarried_perc,prev_births_0,prev_births_0_perc,prev_births_1,prev_births_1_perc,prev_births_2,prev_births_2_perc,prev_births_3,prev_births_3_perc,prev_births_4_or_more,prev_births_4_or_more_perc,prev_abortions_0,prev_abortions_0_perc,prev_abortions_1,prev_abortions_1_perc,prev_abortions_2,prev_abortions_2_perc,prev_abortions_3_or_more,prev_abortions_3_or_more_perc,weeks_gestation_less_6,weeks_gestation_less_6_perc,weeks_gestation_7_to_9,weeks_gestation_7_to_9_perc,weeks_gestation_10_13,weeks_gestation_10_13_perc,weeks_gestation_14_15,weeks_gestation_14_15_perc,weeks_gestation_16_17,weeks_gestation_16_17_perc,weeks_gestation_18_20,weeks_gestation_18_20_perc,weeks_gestation_21_or_more,weeks_gestation_21_or_more_perc,surgical_less_than_13_weeks,surgical_less_than_13_weeks_perc,surgical_more_than_13_weeks,surgical_more_than_13_weeks_perc,surgical_unknown,surgical_unknown_perc,medical_less_than_9_weeks,medical_less_than_9_weeks_perc,medical_more_than_9_weeks,medical_more_than_9_weeks_perc,medical_unknown,medical_unknown_perc,intrauterin_instillation,intrauterin_instillation_perc,hysterectomy_hysterotomy,hysterectomy_hysterotomy_perc,x2020_pop,x2020_pop_hisp,x2020_pop_white_non_hisp,x2020_pop_black_non_hisp,x2020_pop_aian_non_hisp,x2020_pop_nhpi_non_hisp,x2020_pop_other_non_hisp,pop_in_millions,previous_abortion_perc,previoss_birth_perc,pretty_previous_abortion_perc,pretty_previoss_birth_perc,pretty_married_perc
Kansas,Protected,6894,12.3,195,NA,48.9,NA,54,NA,23.7,534,7.8,NA,14.5,NA,15.5,NA,84.5,NA,40.5,NA,24.5,NA,19.2,681,9.9,405,5.9,NA,67.4,NA,21.3,499,7.2,281,4.1,NA,40,NA,39.5,921,13.4,195,2.8,121,1.8,137,2,37,0.5,NA,28.4,486,7.1,0,NA,NA,63.3,82,1.2,0,NA,0,NA,0,NA,2937880,382603,2122575,163352,21921,3115,10064,2.93788,32.6,59.5,32.6%,59.5%,15.5%
Kentucky,Hostile,3664,4.3,69,643,17.5,NA,55.7,NA,33.7,133,3.6,253,6.9,525,14.3,NA,85.7,NA,35.5,934,25.5,871,23.8,338,9.2,221,6,NA,63.4,866,23.6,293,8,181,4.9,NA,35.5,NA,40.7,550,15,116,3.2,65,1.8,109,3,29,0.8,NA,41.3,306,8.4,0,NA,NA,49.9,18,0.5,0,NA,0,NA,0,NA,4505836,207854,3664764,357764,8080,3462,14706,4.505836,36.5,64.5,36.5%,64.5%,14.3%
Louisiana,Hostile,8144,8.8,138,NA,16.7,NA,NA,NA,NA,NA,NA,NA,NA,828,10.5,NA,89.5,NA,32.3,NA,27.5,NA,22.2,894,11,564,6.9,NA,62.7,NA,24.7,732,9,291,3.6,NA,34.6,NA,43.8,NA,15.7,273,3.4,173,2.1,38,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4657757,322549,2596702,1452420,25994,1706,16954,4.657757,37.300000000000004,67.60000000000001,37.3%,67.6%,10.5%
Maine,Protected,2021,8.7,172,107,5.3,NA,NA,NA,NA,NA,NA,NA,NA,308,16,NA,84,NA,49.7,431,21.4,362,18,148,7.3,73,3.6,NA,65.1,455,22.6,153,7.6,95,4.7,595,29.5,996,49.3,317,15.7,48,2.4,33,1.6,31,1.5,0,NA,888,44,106,5.3,NA,NA,960,47.6,63,3.1,NA,NA,0,NA,0,NA,1362359,26609,1228264,25115,7293,407,4430,1.362359,34.900000000000006,50.3,34.9%,50.3%,16%
Maryland,Protected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6177224,729745,2913782,1795027,12055,2575,35314,6.177224,NA,NA,No Data,No Data,No Data
Massachusetts,Protected,18593,13.3,269,631,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.2,NA,23.3,NA,18.7,NA,7.9,645,3.8,NA,52.6,NA,26.9,NA,12.4,NA,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.4,NA,NA,NA,NA,NA,43.2,67,0.4,0,NA,7029917,887685,4748897,457055,9387,1607,92108,7.029917,47.4,53.699999999999996,47.4%,53.7%,"NA%"
Michigan,Hostile,27339,14.6,253,NA,5.2,NA,39.9,NA,51.6,NA,4.5,NA,3.9,NA,10.3,NA,89.7,NA,34.7,NA,25.9,NA,22.7,NA,10.3,NA,6.4,NA,51.7,NA,24.9,NA,13.5,NA,9.9,NA,33,NA,42.1,NA,14.9,NA,4.1,667,2.4,584,2.1,353,1.3,NA,47.6,NA,9.7,42,0.2,NA,41.1,386,1.4,10,0,0,NA,0,NA,10077331,564422,7295651,1358458,47406,2603,37183,10.077331,48.3,65.3,48.3%,65.3%,10.3%
Minnesota,Protected,9940,9.2,151,888,8.9,NA,46.8,NA,27.9,NA,15.1,937,10.2,NA,16.2,NA,83.8,NA,40.1,NA,23,NA,19.7,964,9.8,730,7.4,NA,61.1,NA,22.3,937,9.5,708,7.2,NA,36.7,NA,39.2,NA,14.1,379,3.9,194,2,216,2.2,187,1.9,NA,52.2,958,9.6,54,0.5,NA,36.1,61,0.6,87,0.9,NA,NA,NA,NA,5706494,345640,4353880,392850,57046,2621,20963,5.706494,39,59.9,39%,59.9%,16.2%
Mississippi,Hostile,3194,5.5,87,335,10.5,619,19.5,NA,74,114,3.6,95,3,290,9.1,NA,90.9,996,31.2,924,28.9,714,22.4,342,10.7,218,6.8,NA,67.6,685,21.4,249,7.8,101,3.2,NA,35,NA,44.5,468,14.7,171,5.4,16,0.5,NA,NA,NA,NA,725,22.7,186,5.8,0,NA,NA,69.8,55,1.7,0,NA,0,NA,0,NA,2961279,105220,1639077,1079001,14019,1037,7174,2.961279,32.4,68.8,32.4%,68.8%,9.1%
Missouri,Hostile,1471,1.2,20,128,8.7,NA,NA,NA,NA,NA,NA,NA,NA,224,16,NA,84,561,38.1,353,24,301,20.5,146,9.9,110,7.5,882,60,367,24.9,141,9.6,81,5.5,86,5.8,496,33.7,505,34.3,130,8.8,87,5.9,112,7.6,55,3.7,NA,73.5,367,25.1,0,NA,5,0.3,10,0.7,0,NA,NA,NA,NA,NA,6154913,303068,4663907,692774,23496,9293,22377,6.154913,40,61.9,40%,61.9%,16%
